robot_id,node_id,ETA
A1,N02,7.4
A1,N12,13.8
A1,N22,26.8
A1,N23,33.800000000000004
A1,N24,40.2
A1,N14,47.800000000000004
A1,N24,57.400000000000006
A1,N34,62.400000000000006
A1,N33,68.8
A1,N23,225.8
A1,N13,232.60000000000002
A1,N03,239.20000000000002
A1,N02,246.8
A1,N01,258.0
A2,N33,7.6000000000000005
A2,N32,34.2
A2,N22,123.0
A2,N12,129.8
A2,N13,136.6
A2,N14,143.4
A2,N04,150.8
A2,N03,157.60000000000002
A2,N02,164.8
A2,N03,175.0
A2,N04,180.0
A2,N14,185.8
A2,N24,192.8
A2,N34,204.0
A3,N21,10.0
A3,N11,54.2
A3,N12,150.0
A3,N13,157.0
A3,N03,191.60000000000002
A3,N02,198.8
A3,N01,206.60000000000002
A3,N11,212.60000000000002
A3,N21,219.8
A3,N31,231.4
A4,N14,67.8
A4,N24,74.8
A4,N23,81.80000000000001
A4,N22,88.80000000000001
A4,N21,96.0
A4,N22,106.0
A4,N23,110.80000000000001
A4,N24,212.60000000000002
A4,N14,219.8
A4,N04,231.60000000000002
